"row ID","hue","intensity"
"0",1.04,5.64
"1",1.05,4.38
"2",1.03,5.68
"3",0.86,7.8
"4",1.04,4.32
"5",1.05,6.75
"6",1.02,5.25
"7",1.06,5.05
"8",1.08,5.2
"9",1.01,7.22
"10",1.25,5.75
"11",1.17,5
"12",1.15,5.6
"13",1.25,5.4
"14",1.2,7.5
"15",1.28,7.3
"16",1.07,6.2
"17",1.13,6.6
"18",1.23,8.7
"19",0.96,5.1
"20",1.09,5.65
"21",1.03,4.5
"22",1.11,3.8
"23",1.09,3.93
"24",1.12,3.52
"25",1.13,3.58
"26",0.92,4.8
"27",1.02,3.95
"28",1.25,4.5
"29",1.04,4.7
"30",1.19,5.7
"31",1.09,6.9
"32",1.23,3.84
"33",1.25,5.4
"34",1.1,4.2
"35",1.04,5.1
"36",1.09,4.6
"37",1.12,4.25
"38",1.18,3.7
"39",0.89,5.1
"40",0.95,6.13
"41",0.91,4.28
"42",0.88,5.43
"43",0.82,4.36
"44",0.88,5.04
"45",0.87,5.24
"46",1.04,4.9
"47",0.91,6.1
"48",1.07,6.2
"49",1.12,8.9
"50",1.12,7.2
"51",1.24,5.6
"52",1.01,7.05
"53",1.13,6.3
"54",0.92,5.85
"55",0.98,6.25
"56",0.94,6.38
"57",1.07,6
"58",0.89,6.8
"59",1.05,1.95
"60",1.25,3.27
"61",0.98,5.75
"62",1.23,3.8
"63",1.22,4.45
"64",1.45,2.95
"65",1.19,4.6
"66",1.12,5.3
"67",1.12,4.68
"68",1.02,3.17
"69",1.28,2.85
"70",0.906,3.05
"71",1.36,3.38
"72",0.98,3.74
"73",1.31,3.35
"74",0.99,3.21
"75",1.23,3.8
"76",1.19,4.6
"77",0.96,2.65
"78",1.06,3.4
"79",1.19,2.57
"80",1.38,2.5
"81",1.16,3.9
"82",1.31,2.2
"83",0.84,4.8
"84",0.79,3.05
"85",1.23,2.62
"86",1.33,2.45
"87",1.36,2.6
"88",1,2.8
"89",1.07,1.74
"90",1.08,2.4
"91",1.05,3.6
"92",0.96,3.05
"93",1.15,2.15
"94",1.16,3.25
"95",1.16,2.6
"96",0.95,2.5
"97",1.23,2.9
"98",1.04,4.5
"99",1.42,2.3
"100",1.27,3.3
"101",1.04,2.45
"102",0.8,2.8
"103",0.94,2.06
"104",1.04,2.94
"105",0.86,2.7
"106",1,3.4
"107",0.88,3.3
"108",0.86,2.7
"109",0.96,2.65
"110",0.75,2.9
"111",0.9,2
"112",1.23,3.8
"113",1.1,3.08
"114",0.93,2.9
"115",1.71,1.9
"116",0.95,1.95
"117",1.06,2.06
"118",0.7,3.4
"119",0.93,1.28
"120",0.8,3.25
"121",0.93,6
"122",0.92,2.08
"123",0.73,2.6
"124",0.75,2.8
"125",0.86,2.76
"126",0.69,3.94
"127",0.97,3
"128",0.89,2.12
"129",0.79,2.6
"130",0.76,4.1
"131",0.74,5.4
"132",0.66,5.7
"133",0.78,5
"134",0.75,5.45
"135",0.73,7.1
"136",0.75,3.85
"137",0.82,5
"138",0.81,5.7
"139",0.89,4.92
"140",0.77,4.6
"141",0.7,5.6
"142",0.89,4.35
"143",0.91,4.4
"144",0.65,8.21
"145",0.6,4
"146",0.58,4.9
"147",0.54,7.65
"148",0.55,8.42
"149",0.57,9.4
"150",0.59,8.6
"151",0.48,10.8
"152",0.61,7.1
"153",0.56,10.52
"154",0.58,7.6
"155",0.6,7.9
"156",0.57,9.01
"157",0.67,7.5
"158",0.57,13
"159",0.57,11.75
"160",0.56,7.65
"161",0.96,5.88
"162",0.87,5.58
"163",0.68,5.28
"164",0.7,9.58
"165",0.78,6.62
"166",0.85,10.68
"167",0.72,10.26
"168",0.74,8.66
"169",0.67,8.5
"170",0.66,5.5
"171",0.57,9.899999
"172",0.62,9.7
"173",0.64,7.7
"174",0.7,7.3
"175",0.59,10.2
"176",0.6,9.3
"177",0.61,9.2
